repo_name,pr_number,group,task_type,repo_language,merge_quarter,changed_kloc,log1p_changed_kloc,stars,log1p_stars,design_name,propensity_ai,exact_stratum,common_support,overlap_weight,support_exclusion_reason
superfly/flyctl,4463,ai,feat,Go,2025-Q3,0.142,0.13278111123381847,1549.0,7.346010209913293,unweighted_full_sample,,feat|Go,True,1.0,
reown-com/appkit,4455,ai,feat,TypeScript,2025-Q2,0.053,0.05164323315183845,5202.0,8.556990661290303,unweighted_full_sample,,feat|TypeScript,True,1.0,
hasanharman/form-builder,79,ai,feat,TypeScript,2025-Q2,2.912,1.3640487521725708,2367.0,7.769800996003896,unweighted_full_sample,,feat|TypeScript,True,1.0,
imbhargav5/rooks,1797,ai,feat,TypeScript,2025-Q3,0.641,0.4953058121079539,3318.0,8.107418811719974,unweighted_full_sample,,feat|TypeScript,True,1.0,
prebid/Prebid.js,13320,ai,refactor,JavaScript,2025-Q2,0.209,0.18979357163265562,1467.0,7.291656209174461,unweighted_full_sample,,refactor|JavaScript,True,1.0,
Edgenesis/shifu,1204,ai,fix,Go,2025-Q2,0.002,0.001998002662673056,1359.0,7.215239978730097,unweighted_full_sample,,fix|Go,True,1.0,
novuhq/novu,8335,ai,feat,TypeScript,2025-Q2,0.136,0.12751332029895962,37349.0,10.528088190560963,unweighted_full_sample,,feat|TypeScript,True,1.0,
vlm-run/vlmrun-hub,56,ai,fix,Python,2025-Q1,0.022,0.02176149178151269,528.0,6.270988431858299,unweighted_full_sample,,fix|Python,True,1.0,
go-vikunja/vikunja,1003,ai,fix,Go,2025-Q2,0.002,0.001998002662673056,2080.0,7.640603826393634,unweighted_full_sample,,fix|Go,True,1.0,
tldraw/tldraw,6223,ai,feat,TypeScript,2025-Q2,0.071,0.06859279146561172,41090.0,10.623544398402931,unweighted_full_sample,,feat|TypeScript,True,1.0,
